ID UTE;Tecnologia;Cenario;GTMin;CVU;CAPEX;Capacidade
1;TERMOBAHIA;1;0;678;100063492,7;159,2891939
2;VALE DO ACU;1;0;593;204716623,9;325,8845471
3;ELETROBOLT;1;0;539;170278988,3;271,063922
4;TRES LAGOAS;1;0;678;175576345,8;279,496686
5;CCBS;1;0;494;116475264,1;185,4147845
6;TERMOCEARA;1;0;608;77006147,11;122,5846387
7;TERMORIO;1;0;457;548932045,5;873,8346092
8;LINHARES;1;0;527;122360616;194,7835656
9;TERMOMACAE;1;0;539;507409141,8;807,735079
10;N.VENECIA 2;1;0;551;98403016,34;156,6459128
11;CANOAS;1;0;404;145725230,6;231,9772565
12;JUIZ DE FORA;1;0;551;50192280,49;79,90014825
13;IBIRITERMO;1;0;411;113688832,5;180,9791163
14;FAFEN;1;0;578;44817350,13;71,3438976
15;FORTALEZA;1;0;449;193524275,4;308,0676578
16;NORTEFLU;1;0;441;450440685,3;717,0480635
17;TERMOPE;1;0;380;274497915,3;436,9680738
18;F.GASPARIAN;1;0;466;290488402,2;462,4230294
19;ST.CRUZ NOVA;1;0;404;277679840;442,03332
20;APARECIDA;1;0,5;527;77977004,76;124,1301288
21;J.LACERDA C;1;0,4;334,85;12580128000;327,6075
22;J.LACERDA B;1;0,4;392,35;9079872000;236,455
23;J.LACERDA A1;1;0;426,48;3465600000;90,25
24;J.LACERDA A2;1;0,36;426,48;4574592000;119,13
25;FIGUEIRA;1;0,4;931,69;693120000;18,05
26;CANDIOTA 3;1;0,4;128,57;12129600000;315,875
